Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1001033,110070116733,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.91,-87.72,221112,D,Power Plants,3077205.9,2386473.4,2789540.7,2741626.7,2172917.2,2315093.2,2663665.6,3143355.9,2556867.7,2538211.8,2270617.7
1012058,110071161547,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,SUMTER COUNTY,28.74,-82.09,562212,HH,Waste,255049.3,210709.8,139492.5,95999.0,47097.0,29670.0,15626.5,,,,
1013527,,A.J. Mihm Generating Station,Pelkie,MI,49958,816017 Sarya Road,,46.79,-88.62,221112,C,Power Plants,119056.2,123398.1,99392.7,,,,,,,,
1002853,110017421226,ABBOTT NUTRITION,STURGIS,MI,49091,901 NORTH CENTERVILLE ROAD,ST. JOSEPH COUNTY,41.81,-85.43,311514,C,Other,,,,,,23486.8,23398.0,24996.5,21426.5,20498.4,25492.6
1002983,110018042562,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30,-87.89,424210,C,Other,56477.7,55009.4,54130.1,54787.2,55489.2,55832.7,56777.3,64177.6,68720.9,58630.8,75805.5
1007514,110007806188,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.43,-66.57,325412,C,Chemicals,61957.9,64383.5,86980.0,86045.7,82095.5,85474.9,95561.4,98333.8,106357.6,110110.4,116626.0
1004511,110000366817,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.58,-86.78,324199,"C,Q",Metals,175860.4,171414.2,177086.9,176844.1,166390.2,161315.0,171606.5,201540.7,199654.2,214858.5,223890.3
1005278,110033218159,ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,COLWICH,KS,67030,523 E UNION AVE,SEDGWICK COUNTY,37.79,-97.53,325193,C,Other,,,,,,,7714.4,7460.6,0.0,0.0,11.5
1005353,110038367228,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.44,-98.79,325193,C,Other,190887.6,196953.3,193369.9,194355.0,189764.6,189764.6,180568.9,174747.7,182302.3,172174.6,162005.1
1006971,110064337123,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.48,-76.14,928110,C,Other,98481.4,95765.9,108122.6,106920.0,83575.7,80483.6,69918.5,54155.5,33282.1,40467.1,51105.0
1003091,110034769043,ABRAHAM COMPRESSOR STATION,CANADIAN,TX,79014,9835 US HWY 60,HEMPHILL,35.76,-100.49,211111,C,Petroleum and Natural Gas Systems,,,,,,,21768.0,27228.5,30973.3,23083.2,24388.4
1002627,110027236621,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.50,-92.92,325193,"C,II","Other,Waste",147591.6,142519.4,140703.3,170171.8,177140.2,174562.5,178561.4,179161.7,180438.3,172951.4,167013.7
1002685,110071162081,AC 857 A,Offshore,TX,00000,,,26.30,-94.90,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,222001.8,195340.8,214992.5,214868.7,209376.5,265377.8,275627.4,229358.7,180859.9,175745.2,134678.5
1006529,110013921435,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.26,-92.53,562111,HH,Waste,45791.5,45082.5,53725.3,53049.5,52774.3,52502.8,51686.5,51001.0,50322.8,49691.0,47807.5
1004830,110000481924,ACE Cogeneration Company,Trona,CA,93562,12801 Mariposa Street,SAN BERNARDINO,35.77,-117.38,221112,C,Power Plants,,,,,,,,368560.1,327422.6,581742.8,721407.1
1004761,110013812918,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.96,-90.96,325193,"C,PP","Other,Suppliers of CO2",75318.8,69300.8,75591.9,73526.1,73406.1,74011.8,73115.0,75143.3,72119.2,71601.0,70091.2
1005601,110007180709,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.33,-97.29,327120,C,Minerals,24461.5,26692.3,26165.8,27772.7,26481.6,55858.2,58615.7,29376.3,31235.3,24725.4,22273.0
1005046,110007177722,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,34.32,-99.82,327420,C,Minerals,37011.6,39773.0,39610.7,38344.2,37790.6,39418.5,35616.5,34729.6,28972.1,28780.6,29403.1
1002731,110071161104,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.93,-85.43,221112,C,Power Plants,104600.1,85831.7,81392.6,100988.8,95251.5,93657.0,94984.5,109183.3,100435.0,89413.0,108163.2
1003752,110040089604,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,32.01,-93.39,325998,C,Chemicals,273324.9,194427.2,172184.9,197306.9,183758.0,220376.9,188762.7,143455.1,97533.6,126980.0,62534.0
1003422,110008978552,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,42.36,-89.80,325193,C,Other,90388.2,86205.1,91352.1,84644.0,85443.1,80070.7,76422.3,74812.3,67654.6,65913.0,73368.7
1002154,110013325507,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.19,-94.00,311225,C,Other,128883.5,139900.2,90584.6,129574.9,129892.8,138907.9,143286.5,138201.4,137337.7,96361.6,129094.8
1006047,110010507503,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,LINN COUNTY,41.92,-91.69,311221,"C,II","Other,Waste",2754252.7,2338390.2,3071299.4,3008750.9,3053653.7,2952187.9,3048420.4,3022790.7,2916363.9,3233301.1,3018343.2
1006208,110000415630,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,CLINTON COUNTY,41.82,-90.21,311221,"C,TT","Other,Waste",2114570.6,2110774.5,2088384.0,2089938.9,1939935.3,2024063.5,2151829.9,2272581.0,2188314.9,2010290.5,2061252.4
1001867,110000595035,ADM CORN PROCESSING,WALHALLA,ND,58282,12868 COUNTY ROAD 9,PEMBINA,48.91,-97.89,325193,C,Other,,,,,,,,,,15584.9,88428.7
1010610,110033021888,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,VERNON COUNTY,37.81,-94.59,311224,C,Other,41564.1,41564.8,40696.8,34751.4,32865.5,33675.7,34167.2,30872.6,30982.4,27301.9,
1011855,110002319982,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,HANCOCK COUNTY,41.15,-83.43,311224,C,Other,27869.2,27777.3,29149.4,28360.8,26811.7,26225.9,26753.8,,,,
1000376,110040894761,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,ADAMS COUNTY,39.90,-91.41,311224,C,Other,95857.5,104084.4,109506.6,102194.7,117650.2,131129.5,195047.9,152630.3,147569.2,164391.4,166895.3
1006080,110027360399,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,HAMILTON COUNTY,35.00,-85.32,322110,C,Pulp and Paper,30243.8,26863.8,26210.2,31847.3,30339.6,28638.9,24860.4,24508.1,23341.4,25097.3,27081.2
1000034,110067425799,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,POLK COUNTY,41.63,-93.58,311224,C,Other,147313.2,153766.7,149818.1,155623.3,145234.3,150870.2,144115.3,141702.5,133350.9,142430.8,147019.7
1014236,110000350370,ADM Southport,Southport,NC,28461,1730 E Moore Street SE,BRUNSWICK COUNTY,33.95,-78.00,325199,C,Chemicals,65370.0,,,,,,,,,,
1011961,110012384561,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,LOWNDES COUNTY,30.83,-83.25,311224,C,Other,61373.6,52420.7,47155.0,38005.4,41254.0,39870.4,29482.2,,,,
1001991,110071160847,ADRIAN LANDFILL,ADRIAN,MI,49221,1970 N OGDEN HWY,LENAWEE COUNTY,41.89,-84.06,562212,HH,Waste,8227.5,6576.3,6905.0,7499.8,8235.0,9104.8,14142.3,16305.2,16353.3,18518.3,34758.9
1001633,110070081800,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,35131,1319 NO BUSINESS CREEK ROAD,ST. CLAIR COUNTY,33.68,-86.25,562212,HH,Waste,19703.3,141324.2,137465.8,94485.7,79728.7,85030.5,97230.5,124823.8,87961.0,92917.5,106789.0
1001636,110013947453,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,31601,2995 WETHERINGTON LANE,LOWNDES COUNTY,30.81,-83.36,562212,HH,Waste,160012.5,319537.0,320648.0,309782.0,218748.3,206818.5,137389.0,164077.3,311950.3,292924.0,106262.5
1006790,110071159539,ADS-STAR RIDGE LANDFILL,MOODY,AL,35004,3301 ACMAR ROAD,ST. CLAIR COUNTY,33.61,-86.51,562212,HH,Waste,36608.3,151287.3,145819.0,143100.5,117889.3,91961.5,90617.5,122873.8,75749.8,60150.0,95842.3
1002094,110034159005,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,61704,2105 W OAKLAND AVE,MCLEAN COUNTY,40.47,-89.03,562212,HH,Waste,3493.3,4266.8,7440.0,8221.3,26421.2,23065.6,24335.8,18855.2,32730.8,38172.1,12461.1
1001845,110043581317,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,WI,54495,2510 ENGEL ROAD,WOOD COUNTY,44.41,-89.85,562212,"C,HH",Waste,24192.5,20077.2,36865.7,22295.7,22308.6,28204.8,35228.8,30677.1,36060.1,44418.6,27099.0
1003038,110006726123,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,MO,63552,31226 INTREPID ROAD,MACON COUNTY,39.73,-92.54,562212,"C,HH",Waste,30997.5,21802.7,15454.6,33138.8,29459.9,29119.1,27558.8,24570.9,17676.2,21667.6,26828.7
1006979,110017987589,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,63021,1741 SULPHUR SPRING ROAD,ST. LOUIS COUNTY,38.56,-90.53,562212,HH,Waste,11405.3,5362.3,5324.0,5774.8,6111.0,7778.0,8606.0,9383.3,9530.0,10848.8,24171.0
1001637,110012142733,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,OGLE COUNTY,42.14,-89.09,562212,"C,HH",Waste,164238.4,192679.1,184687.6,156829.2,121901.0,133228.6,168657.5,113312.9,105230.3,138458.4,78595.9
1006963,110018431320,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,IL,62522,1363 BEAR RD,MACON COUNTY,39.82,-89.04,562212,"C,HH",Waste,42379.9,33001.6,29269.8,34028.2,49066.5,43782.7,28856.8,43911.0,46213.6,42936.6,53378.1
1000627,110000342460,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,CHESTERFIELD COUNTY,37.34,-77.29,325211,C,Other,59228.6,57749.8,60337.4,54836.6,58554.4,58711.4,49418.1,46014.6,45318.8,40862.8,40021.9
1000630,110070737782,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.18,-77.16,325199,"C,G,PP","Chemicals,Suppliers of CO2",1206917.8,1181515.8,1241380.1,995690.3,1040591.3,958521.9,974277.3,1054912.6,1115670.5,1151345.4,999354.4
1005310,110071162472,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,00785,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA MUNICIPIO,17.95,-66.15,221112,C,Power Plants,3795966.4,3431800.9,4455499.1,3079369.9,2478454.1,3949680.5,3433759.1,3732438.4,3692531.4,3459977.7,3682689.1
